year,country,type,n,region,subregion,intermediate_region,least_developed,land_locked_developing,small_island_developing,code_region,code_subregion,code_intermediate_region,code_m49,code_iso_alpha2,code_iso_alpha3
2006,Argentina,pv,263120,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2006,Argentina,cv,168981,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2006,Australia,pv,270000,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2006,Australia,cv,60900,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2006,Austria,pv,248059,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2006,Austria,cv,26873,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2006,Belgium,pv,881929,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2006,Belgium,cv,36127,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2006,Brazil,pv,2092029,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2006,Brazil,cv,519005,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2006,Canada,pv,1389536,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2006,Canada,cv,1182756,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2006,China,pv,5233132,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2006,China,cv,1955576,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2006,Czech Republic,pv,848922,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2006,Czech Republic,cv,5985,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2006,Egypt,pv,59462,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2006,Egypt,cv,32056,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2006,Finland,pv,32417,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2006,Finland,cv,353,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2006,France,pv,2723196,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2006,France,cv,446023,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2006,Germany,pv,5398508,Europe,Western Europe,NA,0,0,0,150,155,NA,276,DE,DEU
2006,Germany,cv,421106,Europe,Western Europe,NA,0,0,0,150,155,NA,276,DE,DEU
2006,Hungary,pv,187633,Europe,Eastern Europe,NA,0,0,0,150,151,NA,348,HU,HUN
2006,Hungary,cv,3190,Europe,Eastern Europe,NA,0,0,0,150,151,NA,348,HU,HUN
2006,India,pv,1473000,Asia,Southern Asia,NA,0,0,0,142,34,NA,356,IN,IND
2006,India,cv,546808,Asia,Southern Asia,NA,0,0,0,142,34,NA,356,IN,IND
2006,Indonesia,pv,256285,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,360,ID,IDN
2006,Indonesia,cv,40777,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,360,ID,IDN
2006,Iran,pv,800000,Asia,Southern Asia,NA,0,0,0,142,34,NA,364,IR,IRN
2006,Iran,cv,104500,Asia,Southern Asia,NA,0,0,0,142,34,NA,364,IR,IRN
2006,Italy,pv,892502,Europe,Southern Europe,NA,0,0,0,150,39,NA,380,IT,ITA
2006,Italy,cv,319092,Europe,Southern Europe,NA,0,0,0,150,39,NA,380,IT,ITA
2006,Japan,pv,9756515,Asia,Eastern Asia,NA,0,0,0,142,30,NA,392,JP,JPN
2006,Japan,cv,1727718,Asia,Eastern Asia,NA,0,0,0,142,30,NA,392,JP,JPN
2006,Malaysia,pv,377952,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,458,MY,MYS
2006,Malaysia,cv,125021,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,458,MY,MYS
2006,Mexico,pv,1097619,Americas,Latin America and the Caribbean,Central America,0,0,0,19,419,13,484,MX,MEX
2006,Mexico,cv,947899,Americas,Latin America and the Caribbean,Central America,0,0,0,19,419,13,484,MX,MEX
