year,region,type,n
2005,Africa,pc,784237
2005,Africa,cv,328780
2006,Africa,pc,926966
2006,Africa,cv,387309
2007,Africa,pc,939201
2007,Africa,cv,382773
2008,Africa,pc,889206
2008,Africa,cv,366645
2009,Africa,pc,827160
2009,Africa,cv,331614
2010,Africa,pc,908357
2010,Africa,cv,342864
2011,Africa,pc,1050745
2011,Africa,cv,396182
2012,Africa,pc,1154025
2012,Africa,cv,415438
2013,Africa,pc,1196833
2013,Africa,cv,456754
2014,Africa,pc,1246318
2014,Africa,cv,471603
2015,Africa,pc,1128433
2015,Africa,cv,421123
2016,Africa,pc,981214
2016,Africa,cv,333249
2017,Africa,pc,842835
2017,Africa,cv,294646
2018,Africa,pc,921623
2018,Africa,cv,307301
2019,Africa,pc,868928
2019,Africa,cv,308319
2020,Africa,pc,664795
2020,Africa,cv,259251
2021,Africa,pc,833015
2021,Africa,cv,311992
2005,All Countries,pc,45407298
2005,All Countries,cv,20516496
2006,All Countries,pc,47955259
2006,All Countries,cv,20398117
2007,All Countries,pc,50834531
2007,All Countries,cv,20728868
2008,All Countries,pc,49978237
2008,All Countries,cv,18337258
2009,All Countries,pc,49654985
2009,All Countries,cv,15913844
2010,All Countries,pc,55818570
2010,All Countries,cv,19152953
2011,All Countries,pc,57839953
2011,All Countries,cv,20330467
2012,All Countries,pc,60936407
2012,All Countries,cv,21192731
2013,All Countries,pc,63429200
2013,All Countries,cv,22176936
2014,All Countries,pc,65708230
2014,All Countries,cv,22629868
2015,All Countries,pc,66314155
2015,All Countries,cv,23370453
2016,All Countries,pc,69464431.76968217
2016,All Countries,cv,24391956
2017,All Countries,pc,70694834
2017,All Countries,cv,24965772
2018,All Countries,pc,68678212
2018,All Countries,cv,26971331
2019,All Countries,pc,64341693
2019,All Countries,cv,27016764
2020,All Countries/Regions,pc,53917153
2020,All Countries/Regions,cv,24857167
2021,All Countries/Regions,pc,56398471
2021,All Countries/Regions,cv,26286317
2005,America,pc,11618929
2005,America,cv,11719925
2006,America,pc,12048814
2006,America,cv,11307861
2007,America,pc,12522371
2007,America,cv,11086694
2008,America,pc,11877523
2008,America,cv,9025378
2009,America,pc,10280682
2009,America,cv,7216363
2010,America,pc,11131614
2010,America,cv,8588367
2011,America,pc,11947951
2011,America,cv,9630088
2012,America,pc,13389456
2012,America,cv,10281437
2013,America,pc,13819830
2013,America,cv,11210175
2014,America,pc,13464567
2014,America,cv,12010964
2015,America,pc,12664453
2015,America,cv,13023706
2016,America,pc,11746160
2016,America,cv,13803052
2017,America,pc,11283401
2017,America,cv,14169953
2018,America,pc,10562992
2018,America,cv,15152399
2019,America,pc,9540192
2019,America,cv,15768984
2020,America,pc,6864024
2020,America,cv,13950808
2021,America,pc,7024288
2021,America,cv,14976864
2020,Asean,pc,1650462
2020,Asean,cv,806874
2021,Asean,pc,1875335
2021,Asean,cv,904503
2005,Asia/Oceania/Middle East,pc,15097677
2005,Asia/Oceania/Middle East,cv,5310920
2006,Asia/Oceania/Middle East,pc,16293923
2006,Asia/Oceania/Middle East,cv,5524663
2007,Asia/Oceania/Middle East,pc,17754371
2007,Asia/Oceania/Middle East,cv,5871267
2008,Asia/Oceania/Middle East,pc,18389909
2008,Asia/Oceania/Middle East,cv,5894404
2009,Asia/Oceania/Middle East,pc,21938382
2009,Asia/Oceania/Middle East,cv,6329277
2010,Asia/Oceania/Middle East,pc,27278736
2010,Asia/Oceania/Middle East,cv,7912897
2011,Asia/Oceania/Middle East,pc,27673657
2011,Asia/Oceania/Middle East,cv,7731778
2012,Asia/Oceania/Middle East,pc,30201657
2012,Asia/Oceania/Middle East,cv,8023947
2013,Asia/Oceania/Middle East,pc,32470264
2013,Asia/Oceania/Middle East,cv,8108871
2014,Asia/Oceania/Middle East,pc,34843066
2014,Asia/Oceania/Middle East,cv,7713930
